index,episode_number,radio_date,title
120,121,1999-01-29,Twentieth Century Man
121,122,1999-02-12,Valentine’s Day ’99
122,123,1999-02-26,High Cost of Living
123,124,1999-03-19,Welcome to America
124,125,1999-04-02,Apocalypse
125,126,1999-04-09,Do-Gooders
126,127,1999-04-16,Pimp Anthropology
127,128,1999-04-30,Four Corners
128,129,1999-05-14,Advice
129,130,1999-05-21,Away From Home
130,131,1999-06-04,The Kids Are Alright
131,132,1999-06-18,Father’s Day ‘99
132,133,1999-06-25,Sales
133,134,1999-07-09,We Didn’t
134,135,1999-07-23,Allure of Crime
135,136,1999-08-06,You Are Here
136,137,1999-08-20,The Book That Changed Your Life
137,138,1999-08-27,The Real Thing
138,139,1999-09-03,Ghosts of Elections Past
139,140,1999-09-24,Family Business
140,141,1999-10-01,Invisible Worlds
141,142,1999-10-15,Barbara
142,143,1999-10-22,Sentencing
143,144,1999-11-05,Where Words Fail
144,145,1999-11-26,Poultry Slam 1999
145,146,1999-12-10,Urban Nature
146,147,1999-12-17,A Teenager's Guide to God
147,148,1999-12-24,The Angels Wanna Wear My Red Suit
148,149,2000-01-14,Bedside Diplomacy
149,150,2000-01-21,Kids As Adults
150,151,2000-01-28,Primary
151,152,2000-02-11,Crush
152,153,2000-03-03,Dolls
153,154,2000-03-10,In Dog We Trust
154,155,2000-03-17,Hoaxing Yourself
155,156,2000-03-31,What Remains
156,157,2000-04-14,Secret Life of Daytime
157,158,2000-05-05,Mob Mentality
158,159,2000-05-12,Mother’s Day
159,160,2000-05-19,Character Assassination
160,161,2000-06-02,Million Bubbles
161,162,2000-06-23,Moving
162,163,2000-06-30,Can You Fight City Hall…If You Are City Hall?
163,164,2000-07-07,Crime Scene
164,165,2000-07-28,Americans In Paris
165,166,2000-08-11,Nobody's Family Is Going to Change
166,167,2000-09-08,Memo to the People of the Future
167,168,2000-09-15,The Fix Is In
168,169,2000-09-29,Pursuit of Happiness
169,170,2000-10-13,Immigration
170,171,2000-11-03,Election
171,172,2000-11-17,24 Hours at the Golden Apple
172,173,2000-12-15,Three Kinds of Deception
173,174,2000-12-29,"Birthdays, Anniversaries, and Milestones"
174,175,2001-01-05,Babysitting
175,176,2001-01-26,"Two Nations, One President"
176,177,2001-02-09,American Limbo
177,178,2001-02-23,Superpowers
178,179,2001-03-16,Cicero
179,180,2001-03-23,Return to Childhood
180,181,2001-04-06,The Friendly Man
181,182,2001-04-13,Cringe
182,183,2001-04-20,The Missing Parents Bureau
183,184,2001-05-11,Neighbors
184,185,2001-05-25,Golden Calf
185,186,2001-06-08,Prom
186,187,2001-06-15,Father's Day '01
187,188,2001-06-22,Kid Logic
188,189,2001-07-13,Hitler’s Yacht
189,190,2001-08-03,Living the Dream
190,191,2001-08-17,I Know What You Did This Summer
191,192,2001-08-31,Meet the Pros
192,193,2001-09-14,Stories of Loss
193,194,2001-09-21,Before and After
194,195,2001-09-28,War Stories
195,196,2001-10-05,Rashomon
196,197,2001-10-26,Before It Had A Name
197,198,2001-11-02,How to Win Friends and Influence People
198,199,2001-11-16,House on Loon Lake
199,200,2001-11-30,Hearts and Minds
